Model Type	Data Type	Prediction	Avg. Accuracy	Std. Deviation Accuracy	# Pos. Samples	# Neg. Samples	# of runs	Avg. Run Time
Neural Network	K-mer Counts	H11/Non-H11	0.9724137931029999	0.0258045337019	13	130	10	89.2152261734
Neural Network	Omnilog AUC	H11/Non-H11	0.9722906403939999	0.0258400680522	13	130	10	4.090141797069999
Random Forest Classifier	K-mer Counts	H11/Non-H11	0.934482758621	0.0185695338177	13	130	10	86.6883595943
Random Forest Classifier	Omnilog AUC	H11/Non-H11	0.9065270935959999	0.016080273315	13	130	10	1.5096894025799998
Support Vector Machine	K-mer Counts	H11/Non-H11	0.9689655172409999	0.0185695338177	13	130	10	85.6579735279
Support Vector Machine	Omnilog AUC	H11/Non-H11	0.9411330049259999	0.0347360507244	13	130	10	0.8199502944949999
Neural Network	K-mer Counts	H19/Non-H19	0.996551724138	0.010344827586200001	6	137	10	88.8781105042
Neural Network	Omnilog AUC	H19/Non-H19	0.944581280788	0.027718936495	6	137	10	4.02538921833
Random Forest Classifier	K-mer Counts	H19/Non-H19	0.9620689655169999	0.024137931034499998	6	137	10	86.9764858961
Random Forest Classifier	Omnilog AUC	H19/Non-H19	0.93078817734	0.000738916256158	6	137	10	1.5104234456999999
Support Vector Machine	K-mer Counts	H19/Non-H19	0.9793103448280001	0.0228732744162	6	137	10	84.6912012339
Support Vector Machine	Omnilog AUC	H19/Non-H19	0.944581280788	0.035269869538300004	6	137	10	0.7948006153110001
Neural Network	K-mer Counts	H2/Non-H2	0.944827586207	0.03160397031000001	17	126	10	90.5269785166
Neural Network	Omnilog AUC	H2/Non-H2	0.9128078817730001	0.032094456131700005	17	126	10	4.45935020447
Random Forest Classifier	K-mer Counts	H2/Non-H2	0.9241379310340001	0.0371390676354	17	126	10	86.6758668423
Random Forest Classifier	Omnilog AUC	H2/Non-H2	0.9	0.036001056927300004	17	126	10	1.51375672817
Support Vector Machine	K-mer Counts	H2/Non-H2	0.9620689655169999	0.024137931034499998	17	126	10	85.4973056078
Support Vector Machine	Omnilog AUC	H2/Non-H2	0.916995073892	0.0383169226477	17	126	10	0.7957243680949999
Neural Network	K-mer Counts	H21/Non-H21	0.965517241379	0.0344827586207	17	126	10	91.28909568790002
Neural Network	Omnilog AUC	H21/Non-H21	0.8791871921179999	0.0559456341022	17	126	10	4.4989672899199995
Random Forest Classifier	K-mer Counts	H21/Non-H21	0.9379310344830001	0.043068951713100004	17	126	10	86.06907601360001
Random Forest Classifier	Omnilog AUC	H21/Non-H21	0.888916256158	0.0528977802551	17	126	10	1.45808899403
Support Vector Machine	K-mer Counts	H21/Non-H21	0.958620689655	0.0457465488325	17	126	10	86.0123724699
Support Vector Machine	Omnilog AUC	H21/Non-H21	0.858374384236	0.0518442190448	17	126	10	0.796648001671
Neural Network	K-mer Counts	H7/Non-H7	0.934482758621	0.054412875303699995	53	90	10	92.77517890930001
Neural Network	Omnilog AUC	H7/Non-H7	0.8931034482760001	0.0498511458441	53	90	10	4.774374175069999
Random Forest Classifier	K-mer Counts	H7/Non-H7	0.9241379310340001	0.0402134613438	53	90	10	86.21211979389999
Random Forest Classifier	Omnilog AUC	H7/Non-H7	0.916871921182	0.027883960035399998	53	90	10	1.46179709435
Support Vector Machine	K-mer Counts	H7/Non-H7	0.931034482759	0.051146196462699994	53	90	10	84.7485759974
Support Vector Machine	Omnilog AUC	H7/Non-H7	0.8029556650249999	0.061329554669900005	53	90	10	0.794936418533
